period,period_window,from_class,to_class,from_lanes,to_lanes,base_transfer_penalty_sec,lane_drop_penalty_sec_per_lane,lane_add_penalty_sec_per_lane,penalty_sec,period_delay_multiplier,notes
NIGHT,20:00-06:59,Nat,Other,4,4,8,2,1,8,0.7,
AM_PEAK,07:00-09:59,Pref,Nat,1,1,3,2,1,3,1.2,
MIDDAY,10:00-16:59,Pref,Nat,1,1,3,2,1,3,1.0,
PM_PEAK,17:00-19:59,Pref,Nat,1,1,3,2,1,3,1.25,
NIGHT,20:00-06:59,Pref,Nat,1,1,3,2,1,3,0.7,
AM_PEAK,07:00-09:59,Pref,Nat,1,2,3,2,1,4,1.2,
MIDDAY,10:00-16:59,Pref,Nat,1,2,3,2,1,4,1.0,
PM_PEAK,17:00-19:59,Pref,Nat,1,2,3,2,1,4,1.25,
NIGHT,20:00-06:59,Pref,Nat,1,2,3,2,1,4,0.7,
AM_PEAK,07:00-09:59,Pref,Nat,1,3,3,2,1,5,1.2,
MIDDAY,10:00-16:59,Pref,Nat,1,3,3,2,1,5,1.0,
PM_PEAK,17:00-19:59,Pref,Nat,1,3,3,2,1,5,1.25,
NIGHT,20:00-06:59,Pref,Nat,1,3,3,2,1,5,0.7,
AM_PEAK,07:00-09:59,Pref,Nat,1,4,3,2,1,6,1.2,
MIDDAY,10:00-16:59,Pref,Nat,1,4,3,2,1,6,1.0,
PM_PEAK,17:00-19:59,Pref,Nat,1,4,3,2,1,6,1.25,
NIGHT,20:00-06:59,Pref,Nat,1,4,3,2,1,6,0.7,
AM_PEAK,07:00-09:59,Pref,Nat,2,1,3,2,1,5,1.2,
MIDDAY,10:00-16:59,Pref,Nat,2,1,3,2,1,5,1.0,
PM_PEAK,17:00-19:59,Pref,Nat,2,1,3,2,1,5,1.25,
NIGHT,20:00-06:59,Pref,Nat,2,1,3,2,1,5,0.7,
AM_PEAK,07:00-09:59,Pref,Nat,2,2,3,2,1,3,1.2,
MIDDAY,10:00-16:59,Pref,Nat,2,2,3,2,1,3,1.0,
PM_PEAK,17:00-19:59,Pref,Nat,2,2,3,2,1,3,1.25,
NIGHT,20:00-06:59,Pref,Nat,2,2,3,2,1,3,0.7,
AM_PEAK,07:00-09:59,Pref,Nat,2,3,3,2,1,4,1.2,
MIDDAY,10:00-16:59,Pref,Nat,2,3,3,2,1,4,1.0,
PM_PEAK,17:00-19:59,Pref,Nat,2,3,3,2,1,4,1.25,
NIGHT,20:00-06:59,Pref,Nat,2,3,3,2,1,4,0.7,
AM_PEAK,07:00-09:59,Pref,Nat,2,4,3,2,1,5,1.2,
MIDDAY,10:00-16:59,Pref,Nat,2,4,3,2,1,5,1.0,
PM_PEAK,17:00-19:59,Pref,Nat,2,4,3,2,1,5,1.25,
NIGHT,20:00-06:59,Pref,Nat,2,4,3,2,1,5,0.7,
AM_PEAK,07:00-09:59,Pref,Nat,3,1,3,2,1,7,1.2,
MIDDAY,10:00-16:59,Pref,Nat,3,1,3,2,1,7,1.0,
PM_PEAK,17:00-19:59,Pref,Nat,3,1,3,2,1,7,1.25,
NIGHT,20:00-06:59,Pref,Nat,3,1,3,2,1,7,0.7,
AM_PEAK,07:00-09:59,Pref,Nat,3,2,3,2,1,5,1.2,
MIDDAY,10:00-16:59,Pref,Nat,3,2,3,2,1,5,1.0,
PM_PEAK,17:00-19:59,Pref,Nat,3,2,3,2,1,5,1.25,
NIGHT,20:00-06:59,Pref,Nat,3,2,3,2,1,5,0.7,
AM_PEAK,07:00-09:59,Pref,Nat,3,3,3,2,1,3,1.2,
MIDDAY,10:00-16:59,Pref,Nat,3,3,3,2,1,3,1.0,
PM_PEAK,17:00-19:59,Pref,Nat,3,3,3,2,1,3,1.25,
NIGHT,20:00-06:59,Pref,Nat,3,3,3,2,1,3,0.7,
AM_PEAK,07:00-09:59,Pref,Nat,3,4,3,2,1,4,1.2,
MIDDAY,10:00-16:59,Pref,Nat,3,4,3,2,1,4,1.0,
PM_PEAK,17:00-19:59,Pref,Nat,3,4,3,2,1,4,1.25,
NIGHT,20:00-06:59,Pref,Nat,3,4,3,2,1,4,0.7,
AM_PEAK,07:00-09:59,Pref,Nat,4,1,3,2,1,9,1.2,
MIDDAY,10:00-16:59,Pref,Nat,4,1,3,2,1,9,1.0,
PM_PEAK,17:00-19:59,Pref,Nat,4,1,3,2,1,9,1.25,
NIGHT,20:00-06:59,Pref,Nat,4,1,3,2,1,9,0.7,
AM_PEAK,07:00-09:59,Pref,Nat,4,2,3,2,1,7,1.2,
MIDDAY,10:00-16:59,Pref,Nat,4,2,3,2,1,7,1.0,
PM_PEAK,17:00-19:59,Pref,Nat,4,2,3,2,1,7,1.25,
NIGHT,20:00-06:59,Pref,Nat,4,2,3,2,1,7,0.7,
AM_PEAK,07:00-09:59,Pref,Nat,4,3,3,2,1,5,1.2,
MIDDAY,10:00-16:59,Pref,Nat,4,3,3,2,1,5,1.0,
PM_PEAK,17:00-19:59,Pref,Nat,4,3,3,2,1,5,1.25,
NIGHT,20:00-06:59,Pref,Nat,4,3,3,2,1,5,0.7,
AM_PEAK,07:00-09:59,Pref,Nat,4,4,3,2,1,3,1.2,
MIDDAY,10:00-16:59,Pref,Nat,4,4,3,2,1,3,1.0,
PM_PEAK,17:00-19:59,Pref,Nat,4,4,3,2,1,3,1.25,
NIGHT,20:00-06:59,Pref,Nat,4,4,3,2,1,3,0.7,
AM_PEAK,07:00-09:59,Pref,Pref,1,1,2,2,1,2,1.2,
MIDDAY,10:00-16:59,Pref,Pref,1,1,2,2,1,2,1.0,
PM_PEAK,17:00-19:59,Pref,Pref,1,1,2,2,1,2,1.25,
NIGHT,20:00-06:59,Pref,Pref,1,1,2,2,1,2,0.7,
AM_PEAK,07:00-09:59,Pref,Pref,1,2,2,2,1,3,1.2,
MIDDAY,10:00-16:59,Pref,Pref,1,2,2,2,1,3,1.0,
PM_PEAK,17:00-19:59,Pref,Pref,1,2,2,2,1,3,1.25,
NIGHT,20:00-06:59,Pref,Pref,1,2,2,2,1,3,0.7,
AM_PEAK,07:00-09:59,Pref,Pref,1,3,2,2,1,4,1.2,
MIDDAY,10:00-16:59,Pref,Pref,1,3,2,2,1,4,1.0,
PM_PEAK,17:00-19:59,Pref,Pref,1,3,2,2,1,4,1.25,
NIGHT,20:00-06:59,Pref,Pref,1,3,2,2,1,4,0.7,
AM_PEAK,07:00-09:59,Pref,Pref,1,4,2,2,1,5,1.2,
MIDDAY,10:00-16:59,Pref,Pref,1,4,2,2,1,5,1.0,
PM_PEAK,17:00-19:59,Pref,Pref,1,4,2,2,1,5,1.25,
NIGHT,20:00-06:59,Pref,Pref,1,4,2,2,1,5,0.7,
AM_PEAK,07:00-09:59,Pref,Pref,2,1,2,2,1,4,1.2,
